"X35S_0"	"X35S_3h"	"X35S_8h"	"BRN_0"	"BRN_3h"	"BRN_8h"	"GL2_0"	"GL2_3h"	"GL2_8h"	"GL2GL2_0"	"GL2GL2_3h"	"GL2GL2_8h"	"SCR_0"	"SCR_3h"	"SCR_8h"	"SCRSCR_0"	"SCRSCR_3h"	"SCRSCR_8h"	"SCRGL2_0"	"SCRGL2_3h"	"SCRGL2_8h"	"SHR_0"	"SHR_3h"	"SHR_8h"
"AT1G63220"	4025.275	3881.33	4863.12	5339.305	5563.085	4106.47	11037.225	13010.595	13108.93	11765.49	15057.57	13054.215	3041.53	2864.9	3425.765	3360.055	3024.82	3353.395	2494.76	2647.725	2636.535	2233.93	1947.52	2572.95
"AT2G31680"	918.15	994.975	874.55	1226.045	1232.575	1041.13	1612.65	2030.435	1722.56	2041.325	2269.17	1858.62	797.94	1116.815	1040.095	1044.655	1169.455	1110.15	808.82	889.48	823.4	689.66	770.105	722.62
"AT3G01220"	1568.88	1151.625	1080.1	2261.905	2055.025	2145.2	3694.45	4175.52	4524.005	4268.27	5126.6	3816.595	1427.605	1553.465	1530.12	2493.15	2292.45	2558.855	1335.61	1350.51	1019.355	562.585	586.795	613.865
"AT4G21830.2"	3290.945	3650.645	3309.62	8173.045	8884.09	8095.96	10410.06	12221.1	16137.375	13031.35	16395.9	14659.115	2343.04	3388.555	3474.455	5187.415	7222.76	6243.96	2116.805	2745.095	1804.055	199.8	282.29	313.945
"AT4G19120.2"	1817.28	2306.225	1522.615	1792.96	2001.615	2354.445	4087.415	6170.615	4177.255	3437.525	4248.16	3938.585	851.18	1041.8	841.72	1154.525	1175.755	1206.85	527.91	747.605	478.755	1766.035	2057.58	2051.91
"AT5G09870.1-Protein"	593.045	631.145	449.59	611.07	575.68	753.275	1122.225	1743.11	983.725	832.87	923.215	921.06	323.615	438.43	300.15	340.25	345.37	294.185	287.79	330.225	300.005	498.045	458.75	439.21
"AT2G20750"	1012.61	1148.045	768.61	830.875	928.545	861.255	3183.735	5037.58	3533.45	1945.37	3466.915	2080.73	478.21	738.945	464.715	750.715	1084.14	922.18	143.255	314.075	128.05	1628.8	1637.235	1613.065
"AT2G23980"	519.94	569.29	504.415	813.985	886.745	903.12	1481.43	1696.79	1541.215	1245.135	1276.48	1317.6	495.52	547.705	525.3	381.36	429.49	423.655	440.64	481.74	434.92	306.85	400.165	380.925
"AT3G07010"	1480.19	1564.815	1234.235	2317.745	2664.65	3316.565	4327.03	6301.82	5461.41	3683.41	4667.63	4451.38	1246.07	1459.41	1316.42	1724.61	1748.39	2088.015	611.005	870.62	575.93	820.11	970.825	1066.8
"AT1G11545"	4107.23	3459.02	2989.22	7459.01	7488.185	5246.805	12432.775	17372.285	11803.63	11499.56	15063.415	11669.255	3104.36	4120.705	3727.145	3537.015	3928.68	4115.285	2083.095	2584.545	2030.775	2351.08	2305.445	2291.51
"AT5G51060"	465.11	421.505	361.505	565.74	767.295	764.15	1635.115	2220.695	1902.415	1431.63	2093.035	1455.29	102.93	136.185	126.705	358.14	438.085	389.945	88.54	125.755	72.48	91.975	127.405	120.365
"AT5G42880"	175.55	202.34	159.905	198.465	213.045	252.62	338.86	523.93	401.575	310.885	452.49	383.865	131.79	144.71	151.64	137.13	153.565	142.095	97.545	125.685	112.1	117.58	164.62	170.97
"AT3G06770.3"	403.41	528.3	365.82	377.465	472.855	501.62	1199.34	1941.905	1268.425	1015.22	1563.15	1279.915	247.585	315.415	245.86	334.07	451.985	480.15	153.025	230.44	146.575	262.86	277.635	263.57
"AT3G63470"	346.855	325.945	195.305	744.425	781.8	617.055	1881.28	2680.33	1982.025	1365.355	1705.935	1502.225	67.185	81.78	58.965	233.295	225.5	249.745	25.83	42.075	30.51	212.05	206.92	190.155
"AT1G25450"	498.27	444.84	338.49	902.58	534.555	548.04	3499.275	4998.81	4535.49	1946.045	3051.41	3307.335	40.72	30.665	32.34	42.165	40.895	34.205	18.1	30.53	20.87	51.575	58.33	65.385
"AT1G05650"	255.305	329.83	261.055	128.15	197.155	237.185	2862.34	3850.83	2569.675	1711.695	1902.075	1485.405	31.13	39.14	33.355	37.01	30.605	25.11	21.325	29.215	23.475	19.85	24.715	27.49
"AT5G42860"	4370.62	4739.625	4171.97	4074.47	4113.75	3309.85	8874.76	10523.515	8002.58	7652.535	8387.11	8538.345	1769.145	2141.495	1758.27	3170.24	2963.945	2824.185	1739.06	1869.935	1442.89	2875.985	2445.405	2521.96
"AT5G38560"	242.945	376.28	313.49	366.67	391.37	617.185	697.255	899.695	729.35	555.6	711.29	574.835	326.41	362.585	397.54	280.78	314.36	289.5	310.13	362.49	346.845	254.055	289.58	254.41
"AT5G14310"	597.455	696.13	601.32	872.785	921.515	896.115	991.785	1329.56	1202.66	810.21	1120.81	955.34	519.54	610.505	527.5	547.45	618.13	580.02	526.125	576.4	493.255	618.38	606.44	572.735
"AT4G35380.1-Protein"	176.915	236.525	167	684.79	741.53	875.15	1017.12	1404.86	1100.835	556.655	1222.93	882.685	35.92	46.295	33.135	48	42.845	35.375	35.43	46.415	42.13	34.585	57.875	54.265
"AT1G61100.1"	609.07	851.24	598.93	1301.245	1339.765	1366.065	1827.37	2644.795	1927.805	1315.265	1816.74	1477.21	544.865	662.18	610.05	432.155	533.11	501.425	364.175	512.04	348.535	288.1	509.92	427.01
"AT2G25800"	477.135	559.4	427.22	916.825	1092.35	919.015	1128.57	1685.285	1197.245	830.22	1108.45	970.775	389.62	442.735	352.915	362.81	397.52	372.405	287.025	342.5	284.975	455.425	539.855	515.39
"AT4G03390"	852.725	1276.22	1169.705	1405.69	1581.65	1665.375	1744.16	2599.2	2495.1	1684.695	2268.64	2210.705	1011	1140.97	1058.655	707.925	785.685	791.405	757.485	935.66	746.5	723.375	902.085	933.43
"AT1G26960"	628.295	598.15	454.725	958.475	1562.425	1022.995	1273.805	2186.85	1870.99	1414.63	1712.775	1231.01	427.725	648.385	589.5	736.175	763.905	737.81	407.255	534.325	397.385	456.465	619.895	577.09
"AT3G51460"	1107.98	1135.45	1091.715	1975.225	1843.41	2577.375	2217.88	2786.48	2824.035	1709.945	1987.16	2169.215	1070.985	1082.775	1157.815	1106.11	1115.49	1124.565	727.92	845.745	816.805	1174.33	1214.875	1354.185
"AT2G27860"	5658.695	5433.95	4526.435	10111.65	10441.84	8231.69	12582.305	16018.14	12308.33	9016.265	10512.53	8664.8	5292.525	6780.715	6107.995	6593.02	6141.515	5921.93	5088.515	5595.68	4776.29	5418.725	5399.12	5832.035
"AT5G39320"	6493.115	4323.815	4065.66	12758.005	10177.085	10010.725	22490.36	21980.83	18380.415	16605.79	15012.705	11536.56	3961.43	4869.725	4995.405	7243.795	6505.775	6735.34	3106.365	3601.08	3055.68	5079.115	4480.22	5246.54
"AT1G68100"	568.005	636.245	598.215	561.73	604.505	565.945	1510.18	1602	1317.4	1047.585	1074.315	1087.775	726.015	802.39	778.295	594.42	624.205	662.47	699.97	730.875	804.29	523.385	488.59	481.54
"AT1G78900"	6043.865	5623.075	5992.065	6379.77	5246.78	6382.165	14868.67	15865.88	15542.56	11122.23	10616.385	12271.84	6902.71	7029.18	7112.555	6747.36	6784.075	7062.43	5821.86	5796.065	6131.255	5556.425	5178.775	5766.745
"AT4G30170"	15029.17	17657.89	14076.345	7377.755	11896.675	8719.045	47559.055	51507.42	54379.035	30220.445	39420.105	30928.905	9199.805	14903.395	10375.545	11666.345	16591.4	15270.91	5995.57	9263.86	6447.88	1139.37	1728.86	1671.955
"AT5G24910"	177.28	140.23	127.18	120.635	163.22	164.875	657.05	606.175	580.53	479.565	470.925	483.16	113.09	135.155	123.935	137.29	107.74	132.6	66.7	90.115	68.47	13.47	17.33	12.9
"AT1G75780"	3834.42	3207.405	2447.415	1744.98	1965.84	2346.73	11874.825	15991.025	13526.66	13255.145	13156.93	10288.35	2602.745	3690.39	3315.055	5962.475	5801.82	6709.18	1440.805	1947.93	1425.5	364.495	510.44	592.91
"AT1G04040"	4703.87	2846.895	2386.23	2880.25	2640.22	2039.63	15569.155	17907.04	16513.04	13904.805	14217.195	11529.145	4809.195	5377.625	4744.28	8135.095	7254.195	7618.56	6382.01	4814.15	6554.225	894.97	924.395	1173.085
"AT5G16590"	1677.445	1876.705	1424.495	2066.855	2354.65	2495.425	3781.25	6525.565	4496.785	2577.23	3068.985	2800.765	1749.435	2141.975	2032.285	1364.075	1719.555	1815.87	1066.865	1433.9	1247.675	1829.445	2001.87	2282.045
"AT2G22125"	616.96	1006.615	841.54	897.4	1009.935	915.21	2175.005	2973.09	1777.295	1348.525	1439.205	1252.555	705.61	845.735	759.225	737.1	801.665	757.06	640.575	743.75	627.915	800.5	795.535	721.66
"AT5G16730"	612.97	749.295	566.365	807.23	831.51	842.41	1330.245	2236.175	1527.08	1073.725	1365.065	1020.82	766.515	950.515	876.945	744.275	880.545	773.255	596.82	751.78	471.595	461.87	688.455	622.845
